GEO_ID,NAME,DP03_0051E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,DP03_0062E,DP03_0063E
1400000US25003911100,Census Tract 9111; Berkshire County; Massachusetts,1332,29,9,88,117,118,246,164,360,118,83,84419,99114
1400000US25003912100,Census Tract 9121; Berkshire County; Massachusetts,2831,46,93,232,178,246,422,425,454,391,344,81168,105479
1400000US25003913100,Census Tract 9131; Berkshire County; Massachusetts,2277,133,65,93,107,311,366,116,395,365,326,97569,130543
1400000US25003914100,Census Tract 9141; Berkshire County; Massachusetts,2668,57,53,334,158,272,493,246,410,279,366,74222,112213
1400000US25003920101,Census Tract 9201.01; Berkshire County; Massachusetts,1642,39,71,132,114,114,167,222,290,199,294,92969,123806
1400000US25003920102,Census Tract 9201.02; Berkshire County; Massachusetts,878,75,40,75,63,24,74,57,155,122,193,114167,173043
1400000US25003921300,Census Tract 9213; Berkshire County; Massachusetts,1921,90,292,200,177,270,286,248,185,87,86,43373,74915
1400000US25003921400,Census Tract 9214; Berkshire County; Massachusetts,742,21,47,73,64,163,188,55,80,34,17,50227,66914
1400000US25003921500,Census Tract 9215; Berkshire County; Massachusetts,1335,161,119,62,32,242,243,149,117,64,146,56910,83245
1400000US25003922100,Census Tract 9221; Berkshire County; Massachusetts,1402,238,65,156,73,178,300,144,56,121,71,47438,65747
1400000US25003922200,Census Tract 9222; Berkshire County; Massachusetts,1834,64,78,289,284,148,205,277,278,116,95,54000,73356
1400000US25003922300,Census Tract 9223; Berkshire County; Massachusetts,845,45,36,98,30,60,202,94,183,66,31,69883,80924
1400000US25003923100,Census Tract 9231; Berkshire County; Massachusetts,1513,62,38,80,206,70,367,152,320,101,117,72028,90796
1400000US25003924100,Census Tract 9241; Berkshire County; Massachusetts,762,32,14,72,65,20,73,93,44,78,271,131667,187141
1400000US25003925101,Census Tract 9251.01; Berkshire County; Massachusetts,712,39,0,87,26,58,46,175,111,19,151,89637,125564
1400000US25003925102,Census Tract 9251.02; Berkshire County; Massachusetts,2231,88,14,137,172,187,461,377,296,126,373,79625,129348
1400000US25003926100,Census Tract 9261; Berkshire County; Massachusetts,1448,41,53,47,67,116,324,161,239,249,151,83889,140374
1400000US25003931100,Census Tract 9311; Berkshire County; Massachusetts,726,9,5,62,43,42,176,115,123,68,83,78421,101780
1400000US25003931300,Census Tract 9313; Berkshire County; Massachusetts,681,32,13,39,68,65,121,106,132,60,45,75694,89370
1400000US25003931400,Census Tract 9314; Berkshire County; Massachusetts,687,10,13,27,22,61,123,67,227,66,71,102896,122968
1400000US25003932200,Census Tract 9322; Berkshire County; Massachusetts,1198,137,13,49,79,79,210,155,228,95,153,82891,112870
1400000US25003932300,Census Tract 9323; Berkshire County; Massachusetts,792,36,22,67,42,123,92,132,164,100,14,76129,84861
1400000US25003933200,Census Tract 9332; Berkshire County; Massachusetts,588,14,0,16,34,46,43,73,103,57,202,141786,179140
1400000US25003933300,Census Tract 9333; Berkshire County; Massachusetts,670,21,5,23,45,26,170,65,99,88,128,94038,132883
1400000US25003933400,Census Tract 9334; Berkshire County; Massachusetts,1094,21,35,36,50,108,145,152,263,117,167,101250,129189
1400000US25003934200,Census Tract 9342; Berkshire County; Massachusetts,551,43,12,3,37,51,57,73,93,31,151,99961,182238
1400000US25003934300,Census Tract 9343; Berkshire County; Massachusetts,810,5,0,48,66,63,102,101,111,79,235,110385,148691
1400000US25003935100,Census Tract 9351; Berkshire County; Massachusetts,1016,59,20,51,71,91,132,116,187,85,204,94167,133179
1400000US25003935200,Census Tract 9352; Berkshire County; Massachusetts,2110,25,36,170,105,197,391,366,470,110,240,87500,122378
1400000US25003935300,Census Tract 9353; Berkshire County; Massachusetts,1765,103,136,281,199,214,226,283,141,95,87,47896,74076
1400000US25005600100,Census Tract 6001; Bristol County; Massachusetts,1966,50,119,99,129,186,175,307,381,154,366,89602,128652
1400000US25005600202,Census Tract 6002.02; Bristol County; Massachusetts,2329,95,20,85,35,274,274,295,538,233,480,102514,127302
1400000US25005600203,Census Tract 6002.03; Bristol County; Massachusetts,2246,0,11,137,149,62,157,143,436,253,898,160809,186706
1400000US25005600204,Census Tract 6002.04; Bristol County; Massachusetts,1447,45,9,41,32,32,152,138,283,207,508,148988,195716
1400000US25005610100,Census Tract 6101; Bristol County; Massachusetts,2454,24,77,36,217,160,329,443,624,266,278,96188,109318
1400000US25005610202,Census Tract 6102.02; Bristol County; Massachusetts,1882,46,0,13,38,85,137,48,381,426,708,172273,198441
1400000US25005610203,Census Tract 6102.03; Bristol County; Massachusetts,2363,38,22,26,41,49,331,109,407,471,869,177587,194595
1400000US25005610204,Census Tract 6102.04; Bristol County; Massachusetts,2281,33,47,94,105,120,220,324,429,336,573,111406,162390
1400000US25005611101,Census Tract 6111.01; Bristol County; Massachusetts,1888,95,38,113,47,62,191,116,398,411,417,120250,142151
1400000US25005611102,Census Tract 6111.02; Bristol County; Massachusetts,1232,32,16,69,61,18,132,165,250,149,340,121667,160152
1400000US25005611201,Census Tract 6112.01; Bristol County; Massachusetts,1132,19,44,22,11,66,131,73,251,203,312,141144,157572
1400000US25005611202,Census Tract 6112.02; Bristol County; Massachusetts,2306,48,0,0,31,186,249,286,542,399,565,126556,150932
1400000US25005612100,Census Tract 6121; Bristol County; Massachusetts,1846,75,13,151,28,111,396,124,292,232,424,101078,134325
1400000US25005612201,Census Tract 6122.01; Bristol County; Massachusetts,1604,55,162,17,61,176,119,145,424,195,250,105982,131141
1400000US25005612202,Census Tract 6122.02; Bristol County; Massachusetts,2449,119,61,130,106,149,189,214,473,332,676,127744,142400
1400000US25005613100,Census Tract 6131; Bristol County; Massachusetts,2748,178,50,219,113,263,426,441,438,205,415,82851,111774
1400000US25005613300,Census Tract 6133; Bristol County; Massachusetts,2955,42,67,76,122,289,285,310,894,479,391,122969,119962
1400000US25005613400,Census Tract 6134; Bristol County; Massachusetts,1563,46,16,75,134,221,139,126,342,231,233,101201,109821
1400000US25005613600,Census Tract 6136; Bristol County; Massachusetts,1685,135,87,218,113,100,392,201,217,158,64,65037,74894
1400000US25005613700,Census Tract 6137; Bristol County; Massachusetts,2072,79,55,196,101,194,471,300,410,120,146,66938,89099
1400000US25005613800,Census Tract 6138; Bristol County; Massachusetts,2302,217,242,402,101,220,219,234,451,180,36,47143,67553
1400000US25005613901,Census Tract 6139.01; Bristol County; Massachusetts,1352,60,62,205,106,160,171,262,127,98,101,62167,80803
1400000US25005613902,Census Tract 6139.02; Bristol County; Massachusetts,2033,28,77,263,210,174,302,245,234,324,176,67390,94106
1400000US25005614000,Census Tract 6140; Bristol County; Massachusetts,1920,168,142,237,179,186,314,259,258,106,71,53067,67700
1400000US25005614101,Census Tract 6141.01; Bristol County; Massachusetts,2704,115,18,286,229,289,380,174,454,459,300,76017,102217
1400000US25005614102,Census Tract 6141.02; Bristol County; Massachusetts,2537,44,12,215,104,275,253,178,872,304,280,108104,115257
1400000US25005615100,Census Tract 6151; Bristol County; Massachusetts,2904,21,35,42,146,170,271,355,598,632,634,137616,147412
1400000US25005616100,Census Tract 6161; Bristol County; Massachusetts,2297,24,0,45,43,163,201,390,418,343,670,123877,156928
1400000US25005617101,Census Tract 6171.01; Bristol County; Massachusetts,1743,68,12,0,32,93,163,266,273,495,341,148151,146957
1400000US25005617102,Census Tract 6171.02; Bristol County; Massachusetts,1439,4,0,25,29,121,212,86,336,231,395,136985,153392
1400000US25005630101,Census Tract 6301.01; Bristol County; Massachusetts,1710,37,26,40,136,183,210,362,514,122,80,95256,96627
1400000US25005630102,Census Tract 6301.02; Bristol County; Massachusetts,2359,35,98,178,67,168,189,569,686,215,154,90838,105126
1400000US25005630201,Census Tract 6302.01; Bristol County; Massachusetts,1201,65,45,25,28,39,129,90,212,385,183,143778,140056
1400000US25005630202,Census Tract 6302.02; Bristol County; Massachusetts,1979,51,0,29,35,243,174,222,251,326,648,146908,165626
1400000US25005630301,Census Tract 6303.01; Bristol County; Massachusetts,2005,52,49,144,6,38,115,217,305,409,670,165958,170250
1400000US25005630302,Census Tract 6303.02; Bristol County; Massachusetts,1296,14,14,18,19,150,212,177,405,146,141,103986,118753
1400000US25005630400,Census Tract 6304; Bristol County; Massachusetts,2305,65,17,267,122,215,169,247,455,252,496,108244,143554
