id,name,status,latitude,longitude,hu,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,municipal,nhood,n_transit
4926,The Offices at Assembly Row,completed,42.3935603938185,-71.0800910364563,0,0,0,0,0,0,Somerville,Assembly Square,"[""Rapid Transit: Assembly""]"
4932,17-25 Murdock Street,completed,42.3956900335417,-71.109059118006,22,0,0,0,0,0,Somerville,Magoun Square,"[""Rapid Transit: Lowell Street Glx""]"
4925,Powder House ,completed,42.402080563712,-71.1252652691989,48,0,0,0,0,0,Somerville,Davis Square,"[""Rapid Transit: Davis""]"
2138,Assembly Row: Block 5A,completed,42.3935083213894,-71.0793406952865,0,0,0,0,0,0,Somerville,Assembly Square,"[""Rapid Transit: Assembly""]"
4096,Assembly Row: Block 6/Montaje,completed,42.3938999740986,-71.0784000005552,447,46,0,23,23,0,Somerville,Assembly Square,"[""Rapid Transit: Assembly""]"
4927,325 & 375 Assembly Row,completed,42.3928053501813,-71.0787326290103,0,0,0,0,0,0,Somerville,Assembly Square,"[""Rapid Transit: Assembly""]"
4933,260 Beacon St,completed,42.3823952979494,-71.1118768392419,17,0,0,0,0,0,Somerville,Porter Square,"[""MBTA Key Bus Route: 77""]"
2507,Hayward Farm,completed,42.4830045274525,-71.4640131331707,6,0,0,0,0,0,Acton,,[]
751,Assembly Row: Block 3 (Sturtevant Street),completed,42.3945349091802,-71.0800420339065,0,0,0,0,0,0,Somerville,Assembly Square,"[""Rapid Transit: Assembly""]"
4278,32 Johnson Ave,completed,42.2544354894985,-71.0047643745801,18,0,0,0,0,0,Quincy,Quincy Center,"[""Rapid Transit: Quincy Center""]"
207,Haymarket Hotel - Parcel 9,completed,42.3617412991271,-71.0561593765236,0,0,0,0,0,0,Boston,Downtown,"[""Rapid Transit: Haymarket""]"
4937,400-406 Mystic Ave,completed,42.3946393885464,-71.0883274139677,27,0,0,0,0,0,Somerville,Winter Hill,"[""RTA: MVRTA""]"
4935,The Commons at Prospect Hill,completed,42.3827536335648,-71.0914435733963,48,0,0,0,0,0,Somerville,Union Square,"[""Rapid Transit: Washington Street""]"
4940,60 Hermon Street,completed,42.3782939153064,-70.9860178896292,5,0,0,0,0,0,Winthrop,,[]
4102,Portside at Pier 1  Shipyard and Marina- Phase II,completed,42.3647732583194,-71.040717708546,296,43,0,0,0,43,Boston,East Boston,"[""Rapid Transit: Maverick""]"
3478,Cambria Hotel Somerville,completed,42.3834689791708,-71.1057551378812,0,0,0,0,0,0,Somerville,Spring Hill,[]
4938,519 Broadway,completed,42.3977645387229,-71.1051125414812,55,6,0,0,0,6,Somerville,Magoun Square,"[""Rapid Transit: Lowell Street Glx""]"
4942,413-415 Shirley Street,completed,42.3741597613585,-70.9724277122616,25,0,0,0,0,0,Winthrop,,"[""Ferry: Winthrop""]"
4943,56 Fairview,completed,42.3838194735297,-70.989171462512,3,0,0,0,0,0,Winthrop,,[]
2889,320 Maverick St,completed,42.3672252942333,-71.0316406650778,33,4,0,0,0,4,Boston,East Boston,"[""Rapid Transit: Maverick""]"
1647,Medical Marijuana Dispensary,completed,42.3872091878094,-71.0811004581152,0,0,0,0,0,0,Somerville,East Somerville,"[""Rapid Transit: Sullivan Square""]"
1648,39 Murdock St,completed,42.3952018834935,-71.1085250549751,3,0,0,0,0,0,Somerville,Magoun Square,"[""Rapid Transit: Lowell Street Glx""]"
4946,101 South Street: (Boynton Yards Phase 1: Bldg 1),completed,42.3746397388642,-71.0905957602134,0,0,0,0,0,0,Somerville,Boynton Yards,"[""Rapid Transit: Union Square Glx""]"
4944,10 Prospect St: D2.1 ,completed,42.378818790904,-71.0940259373561,0,0,0,0,0,0,Somerville,Union Square,"[""Rapid Transit: Union Square Glx""]"
2306,181 Cedar Street,completed,42.3946167046892,-71.1104123317681,6,0,0,0,0,0,Somerville,Magoun Square,"[""Rapid Transit: Lowell Street Glx""]"
2710,6-8 Beacon St,completed,42.3745068599818,-71.1021027546004,6,0,0,0,0,0,Somerville,Union Square,"[""Rapid Transit: Union Square Glx""]"
2405,Coppersmith Village Development,completed,42.3736591324529,-71.040930895292,71,49,0,0,41,8,Boston,East Boston,"[""Rapid Transit: Maverick""]"
2840,315 Highland Ave,completed,42.3931855184702,-71.1141486220268,7,0,0,0,0,0,Somerville,Spring Hill,"[""Rapid Transit: Lowell Street Glx""]"
969,292 Beacon St,completed,42.3834088648407,-71.1130634409169,2,0,0,0,0,0,Somerville,Porter Square,"[""Rapid Transit: Porter""]"
2232,308 Beacon St,completed,42.3839047107153,-71.1136845379509,6,0,0,0,0,0,Somerville,Porter Square,"[""Rapid Transit: Porter""]"
4280,1-13 Newport Ave.,completed,42.2740351713204,-71.0296421028496,80,4,0,0,0,4,Quincy,North Quincy,"[""Rapid Transit: North Quincy""]"
1388,126 Orchard St,completed,42.3943726195742,-71.1246510810688,3,0,0,0,0,0,Somerville,Davis Square,"[""Rapid Transit: Davis""]"
3715,Boston East ,completed,42.3728669719815,-71.0416250796054,200,26,0,0,26,0,Boston,East Boston,"[""Rapid Transit: Maverick""]"
3988,Augusta Heights Townhouses,completed,42.4041473545612,-71.0005744174063,13,0,0,0,0,0,Revere,,"[""Rapid Transit: Revere Beach""]"
4950,90o,completed,42.4033736739229,-70.9914587139705,75,0,0,0,0,0,Revere,,"[""Rapid Transit: Revere Beach""]"
4948,21 Revere Beach Blvd / 20-50 Ocean Ave,completed,42.4034178844382,-70.9907793692467,200,0,0,0,0,0,Revere,,"[""Rapid Transit: Revere Beach""]"
4794,320-329 Revere Beach Boulevard (BLVD at Revere Beach),completed,42.4193960560924,-70.986272638613,145,0,0,0,0,0,Revere,,"[""Rapid Transit: Wonderland""]"
4797,17 Dehon St,completed,42.4069884823797,-70.9937031971623,8,0,0,0,0,0,Revere,,"[""Rapid Transit: Revere Beach""]"
4956,Avid Hotel,completed,42.4201958613269,-71.0019165477668,0,0,0,0,0,0,Revere,,"[""MBTA Key Bus Route: 116""]"
5039,211 Condor Street,completed,42.3824620644391,-71.0327218358492,12,3,0,0,3,0,Boston,East Boston,"[""MBTA Key Bus Route: 116"", ""MBTA Key Bus Route: 117""]"
4836,10 Taber st,completed,42.3301729277421,-71.0829061208312,45,6,0,0,0,6,Boston,Roxbury,"[""Rapid Transit: Dudley Square""]"
4969,Bartlett Place Development (Lot E),completed,42.326536977108,-71.0883591458053,16,0,0,0,0,0,Boston,Roxbury,"[""Rapid Transit: Dudley Square""]"
281,1 Newcomb Place,completed,42.3343922846418,-71.0788136940106,23,3,0,0,0,3,Boston,Roxbury,"[""Rapid Transit: Lenox St""]"
4980,Lenox Housing Renovations,completed,42.3372727644757,-71.0824428687737,0,0,0,0,0,0,Boston,Roxbury,"[""Rapid Transit: Lenox St""]"
4981,Northampton Stret Residences,completed,42.3405894765049,-71.0827742516017,47,0,0,0,0,0,Boston,Roxbury,"[""Rapid Transit: Massachusetts Ave""]"
4082,Melnea Hotel and Residences,completed,42.3334250342415,-71.0810451350596,50,50,0,0,0,50,Boston,Roxbury,"[""Rapid Transit: Melnea Cass Blvd""]"
40,1004-1012 Tremont Street,completed,42.3367512822888,-71.084712957049,7,0,0,0,0,0,Boston,Roxbury,"[""Rapid Transit: Ruggles""]"
1111,Northeastern University - Interdisciplinary Science & Engineering Ctr,completed,42.3376904949779,-71.0869904737232,0,0,0,0,0,0,Boston,Roxbury,"[""Rapid Transit: Ruggles""]"
425,"1065 Tremont Street, Phase II",completed,42.3363816092211,-71.0865573126438,28,4,0,0,0,4,Boston,Roxbury,"[""Rapid Transit: Ruggles""]"
4975,125 Warren Street,completed,42.3261163390677,-71.0835682785446,28,0,0,0,0,0,Boston,Roxbury,"[""Rapid Transit: Dudley Square""]"
4970,Bartlett Place Development (Lot B),completed,42.3267536084501,-71.0877891587295,60,32,0,32,0,0,Boston,Roxbury,"[""Rapid Transit: Dudley Square""]"
5042,2-10 Maverick Square,completed,42.3692218979477,-71.039932928538,25,3,0,0,3,0,Boston,East Boston,"[""Rapid Transit: Maverick""]"
4270,37 Bates Ave,completed,42.2467525356372,-71.0341662975598,12,0,0,0,0,0,Quincy,West Quincy,[]
3293,1065 Tremont Street,completed,42.3362265989554,-71.0863937708298,16,0,0,0,0,0,Boston,Roxbury,"[""Rapid Transit: Ruggles""]"
208,35 Northampton Street,completed,42.3341917831334,-71.0750951795965,245,245,0,0,0,245,Boston,Roxbury,"[""Rapid Transit: Massachusetts Avenue""]"
4972,Northeastern EXP,completed,42.3371745205422,-71.0876591543466,0,0,0,0,0,0,Boston,Roxbury,"[""Rapid Transit: Ruggles""]"
3676,Douglass Park,completed,42.3386852316692,-71.0829216569863,44,8,0,0,0,8,Boston,Roxbury,"[""Rapid Transit: Massachusetts Ave""]"
3814,MPIII Townhomes Renovation,completed,42.333741942304,-71.0858576701688,0,0,0,0,0,0,Boston,Roxbury,"[""Rapid Transit: Melnea Cass Blvd""]"
231,BUMC - New Patient Transport Bridge,completed,42.3340728955167,-71.0723921580635,0,0,0,0,0,0,Boston,South End,"[""Rapid Transit: Worcester Square""]"
5045,101 Cambridgepark Drive,completed,42.3949641181183,-71.1449934357212,0,0,0,0,0,0,Cambridge,North Cambridge,"[""Rapid Transit: Alewife""]"
1144,Dewitt Community Center,completed,42.3329196638209,-71.0845139170583,0,0,0,0,0,0,Boston,Roxbury,"[""Rapid Transit: Melnea Cass Blvd""]"
4055,50 Liberty,completed,42.3542691111252,-71.044471874702,120,0,0,0,0,0,Boston,South Boston Waterfront,"[""Rapid Transit: Courthouse""]"
6608,159-165 Everett Street,completed,42.3662666273236,-71.0321188711247,7,0,0,0,0,0,Boston,East Boston,"[""Rapid Transit: Maverick""]"
1477,Wentworth - Ira Allen Building Addition,completed,42.336178008984,-71.093917273467,0,0,0,0,0,0,Boston,Mission Hill,"[""Rapid Transit: Museum Of Fine Arts""]"
5049,18-26 Chauncey Street Basement Units,completed,42.3793282446334,-71.1228137090299,9,20,0,0,20,0,Cambridge,Neighborhood Nine,"[""Rapid Transit: Harvard""]"
2408,4945 Washington Street,completed,42.2686125378554,-71.1497973023627,46,6,0,0,0,6,Boston,West Roxbury,[]
252,30 Acorn Park (400 Discovery Park),completed,42.3984844844248,-71.1474416496438,0,0,0,0,0,0,Cambridge,North Cambridge,"[""Rapid Transit: Alewife""]"
1907,Codman Square Health and Education Center,completed,42.2894974205321,-71.0721732894258,0,0,0,0,0,0,Boston,Dorchester,"[""Rapid Transit: Shawmut""]"
465,Seashore Point Wellness and Rehabilitation Center,completed,42.0543765404251,-70.1904014400875,81,9,0,0,9,0,Provincetown,,"[""Ferry: Plymouth-Provincetown ""]"
504,Jobs-Whitings Neighborhood/Mashpee Commons,completed,41.6173547313317,-70.4914610084099,382,0,0,0,0,0,Mashpee,,"[""RTA: CCRTA""]"
